,pop,r0,cv,rxe,rxi,wxe,wxi,xe_sec,xi_sec
0,TC,8.0,1.3,8573.0,764.0,0.1938,1.0756,soma,soma
1,HTC,8.0,1.1,8130.0,954.0,0.1938,1.0756,soma,soma
2,TCM,2.0,1.6,9361.0,650.0,0.1938,1.0756,soma,soma
3,TI,15.0,0.8,8526.0,548.0,0.1369,1.1099,soma,soma
4,TIM,10.0,0.8,8814.0,497.0,0.1369,1.1099,soma,soma
5,IRE,15.0,1.3,8817.0,442.0,0.2792,1.649,soma,soma
6,IREM,10.0,1.3,9709.0,390.0,0.2792,1.649,soma,soma
