,pop,r0,cv,rxe,rxi,wxe,wxi,xe_sec,xi_sec
0,TC,8.0,1.3,9404.0,812.0,0.1938,1.0756,soma,soma
1,HTC,8.0,1.1,7788.0,890.0,0.1938,1.0756,soma,soma
2,TCM,2.0,1.6,9473.0,728.0,0.1938,1.0756,soma,soma
3,TI,15.0,0.8,8491.0,542.0,0.1369,1.1099,soma,soma
4,TIM,10.0,0.8,9265.0,533.0,0.1369,1.1099,soma,soma
5,IRE,15.0,1.3,8917.0,447.0,0.2792,1.649,soma,soma
6,IREM,10.0,1.3,9808.0,393.0,0.2792,1.649,soma,soma
