,trial_label,trial_dir,seed_main,saveFolder,simLabel,done
0,net_newsec_ee_fade_var_seed_00000,/ddn/niknovikov19/repo/A1_OUinp/exp_results/ba...,1000.0,./exp_results/batch_rxbkg_state1_mech1/net_new...,net_newsec_ee_fade_var_seed_00000,1.0
1,net_newsec_ee_fade_var_seed_00001,/ddn/niknovikov19/repo/A1_OUinp/exp_results/ba...,1001.0,./exp_results/batch_rxbkg_state1_mech1/net_new...,net_newsec_ee_fade_var_seed_00001,1.0
2,net_newsec_ee_fade_var_seed_00002,/ddn/niknovikov19/repo/A1_OUinp/exp_results/ba...,1002.0,./exp_results/batch_rxbkg_state1_mech1/net_new...,net_newsec_ee_fade_var_seed_00002,1.0
3,net_newsec_ee_fade_var_seed_00003,/ddn/niknovikov19/repo/A1_OUinp/exp_results/ba...,1003.0,./exp_results/batch_rxbkg_state1_mech1/net_new...,net_newsec_ee_fade_var_seed_00003,1.0
4,net_newsec_ee_fade_var_seed_00004,/ddn/niknovikov19/repo/A1_OUinp/exp_results/ba...,1004.0,./exp_results/batch_rxbkg_state1_mech1/net_new...,net_newsec_ee_fade_var_seed_00004,1.0
5,net_newsec_ee_fade_var_seed_00005,/ddn/niknovikov19/repo/A1_OUinp/exp_results/ba...,1005.0,./exp_results/batch_rxbkg_state1_mech1/net_new...,net_newsec_ee_fade_var_seed_00005,1.0
6,net_newsec_ee_fade_var_seed_00006,/ddn/niknovikov19/repo/A1_OUinp/exp_results/ba...,1006.0,./exp_results/batch_rxbkg_state1_mech1/net_new...,net_newsec_ee_fade_var_seed_00006,1.0
7,net_newsec_ee_fade_var_seed_00007,/ddn/niknovikov19/repo/A1_OUinp/exp_results/ba...,1007.0,./exp_results/batch_rxbkg_state1_mech1/net_new...,net_newsec_ee_fade_var_seed_00007,1.0
8,net_newsec_ee_fade_var_seed_00008,/ddn/niknovikov19/repo/A1_OUinp/exp_results/ba...,1008.0,./exp_results/batch_rxbkg_state1_mech1/net_new...,net_newsec_ee_fade_var_seed_00008,1.0
9,net_newsec_ee_fade_var_seed_00009,/ddn/niknovikov19/repo/A1_OUinp/exp_results/ba...,1009.0,./exp_results/batch_rxbkg_state1_mech1/net_new...,net_newsec_ee_fade_var_seed_00009,1.0
10,net_newsec_ee_fade_var_seed_00010,/ddn/niknovikov19/repo/A1_OUinp/exp_results/ba...,1010.0,./exp_results/batch_rxbkg_state1_mech1/net_new...,net_newsec_ee_fade_var_seed_00010,1.0
11,net_newsec_ee_fade_var_seed_00011,/ddn/niknovikov19/repo/A1_OUinp/exp_results/ba...,1011.0,./exp_results/batch_rxbkg_state1_mech1/net_new...,net_newsec_ee_fade_var_seed_00011,1.0
12,net_newsec_ee_fade_var_seed_00012,/ddn/niknovikov19/repo/A1_OUinp/exp_results/ba...,1012.0,./exp_results/batch_rxbkg_state1_mech1/net_new...,net_newsec_ee_fade_var_seed_00012,1.0
13,net_newsec_ee_fade_var_seed_00013,/ddn/niknovikov19/repo/A1_OUinp/exp_results/ba...,1013.0,./exp_results/batch_rxbkg_state1_mech1/net_new...,net_newsec_ee_fade_var_seed_00013,1.0
14,net_newsec_ee_fade_var_seed_00014,/ddn/niknovikov19/repo/A1_OUinp/exp_results/ba...,1014.0,./exp_results/batch_rxbkg_state1_mech1/net_new...,net_newsec_ee_fade_var_seed_00014,1.0
