pop,sec,cadad.cainf,cal.gcalbar,can.gcanbar,cat.gcatbar,ih.gbar,kBK.gpeak,kap.gbar,kdmc.gbar,kdr.gbar,nax.gbar,pas.g
IT2,Adend1,0.00024,2.39132864454e-06,8.13137955053e-07,9.29455717585e-07,3.3176340367e-05,4.45651933019e-05,0.0240195239098,,0.00833766634808,0.0768253702194,7.199592136286027e-05
IT2,Adend2,0.00024,2.39132864454e-06,8.13137955053e-07,9.29455717585e-07,3.3176340367e-05,4.45651933019e-05,0.0240195239098,,0.00833766634808,0.0768253702194,7.199592136286027e-05
IT2,Adend3,0.00024,2.39132864454e-06,8.13137955053e-07,9.29455717585e-07,3.3176340367e-05,4.45651933019e-05,0.0240195239098,,0.00833766634808,0.0768253702194,7.199592136286027e-05
IT2,Bdend,0.00024,2.39132864454e-06,8.13137955053e-07,9.29455717585e-07,3.3176340367e-05,4.45651933019e-05,0.0240195239098,,0.00833766634808,0.0768253702194,0.00014147647761414165
IT2,axon,,,,,,,0.120097619549,,0.0416883317404,0.384126851097,0.00035435694659685776
IT2,soma,0.00024,2.39132864454e-06,8.13137955053e-07,9.29455717585e-07,3.3176340367e-05,4.45651933019e-05,0.0240195239098,,0.017,0.043,0.0001
IT3,Adend1,0.00024,2.39132864454e-06,8.13137955053e-07,9.29455717585e-07,3.3176340367e-05,4.45651933019e-05,0.0240195239098,,0.00833766634808,0.0768253702194,7.199592136286027e-05
IT3,Adend2,0.00024,2.39132864454e-06,8.13137955053e-07,9.29455717585e-07,3.3176340367e-05,4.45651933019e-05,0.0240195239098,,0.00833766634808,0.0768253702194,7.199592136286027e-05
IT3,Adend3,0.00024,2.39132864454e-06,8.13137955053e-07,9.29455717585e-07,3.3176340367e-05,4.45651933019e-05,0.0240195239098,,0.00833766634808,0.0768253702194,7.199592136286027e-05
IT3,Bdend,0.00024,2.39132864454e-06,8.13137955053e-07,9.29455717585e-07,3.3176340367e-05,4.45651933019e-05,0.0240195239098,,0.00833766634808,0.0768253702194,0.00014147647761414165
IT3,axon,,,,,,,0.120097619549,,0.0416883317404,0.384126851097,0.00035435694659685776
IT3,soma,0.00024,2.39132864454e-06,8.13137955053e-07,9.29455717585e-07,3.3176340367e-05,4.45651933019e-05,0.0240195239098,,0.017,0.043,0.0001
ITS4,Adend1,0.00024,2.39132864454e-06,8.13137955053e-07,9.29455717585e-07,3.3176340367e-05,4.45651933019e-05,0.0240195239098,,0.00833766634808,0.0768253702194,7.199592136286027e-05
ITS4,Adend2,0.00024,2.39132864454e-06,8.13137955053e-07,9.29455717585e-07,3.3176340367e-05,4.45651933019e-05,0.0240195239098,,0.00833766634808,0.0768253702194,7.199592136286027e-05
ITS4,Adend3,0.00024,2.39132864454e-06,8.13137955053e-07,9.29455717585e-07,3.3176340367e-05,4.45651933019e-05,0.0240195239098,,0.00833766634808,0.0768253702194,7.199592136286027e-05
